date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:19:42	456/456	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225c0a3f62-1c8%22	https://wantedfornothing.com/wp-content/uploads/2018/12/about-team-icon-1.svg	C:/Users/zero/Desktop/single%204/wantedfornothing.com/wp-content/uploads/2018/12/about-team-icon-1.svg	(from https://wantedfornothing.com/our-story/)
00:19:43	274325/274325	---M--	200	added ('OK')	image/jpeg	etag:%225c5c6e2a-42f95%22	https://wantedfornothing.com/wp-content/uploads/2018/12/IMG_1820-BW-cropped.jpg	C:/Users/zero/Desktop/single%204/wantedfornothing.com/wp-content/uploads/2018/12/IMG_1820-BW-cropped.jpg	(from https://wantedfornothing.com/our-story/)
00:19:44	222020/222020	---M--	200	added ('OK')	image/jpeg	etag:%225c5c6fc9-36344%22	https://wantedfornothing.com/wp-content/uploads/2018/11/IMG_0785-2-cropped-950.jpg	C:/Users/zero/Desktop/single%204/wantedfornothing.com/wp-content/uploads/2018/11/IMG_0785-2-cropped-950.jpg	(from https://wantedfornothing.com/our-story/)
00:19:44	311743/311743	---M--	200	added ('OK')	image/jpeg	etag:%225c5c6fcd-4c1bf%22	https://wantedfornothing.com/wp-content/uploads/2018/11/IMG_0810-2-cropped-950.jpg	C:/Users/zero/Desktop/single%204/wantedfornothing.com/wp-content/uploads/2018/11/IMG_0810-2-cropped-950.jpg	(from https://wantedfornothing.com/our-story/)
00:19:44	318432/318432	---M--	200	added ('OK')	image/jpeg	etag:%225c5c6fbc-4dbe0%22	https://wantedfornothing.com/wp-content/uploads/2018/11/IMG_0715-2-cropped-950.jpg	C:/Users/zero/Desktop/single%204/wantedfornothing.com/wp-content/uploads/2018/11/IMG_0715-2-cropped-950.jpg	(from https://wantedfornothing.com/our-story/)
00:19:45	2234/2234	---MCZ	200	added ('OK')	application/json	date:Tue,%2008%20Jun%202021%2018:49:46%20GMT	https://wantedfornothing.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwantedfornothing.com%2Fcontact%2F	C:/Users/zero/Desktop/single%204/wantedfornothing.com/wp-json/oembed/1.0/embeda164.json	(from https://wantedfornothing.com/contact/)
00:19:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2008%20Jun%202021%2018:49:46%20GMT	https://wantedfornothing.com/?p=32	C:/Users/zero/Desktop/single%204/wantedfornothing.com/index6c46.html	(from https://wantedfornothing.com/contact/)
00:19:46	306814/306814	---M--	200	added ('OK')	image/jpeg	etag:%225c5c6fc0-4ae7e%22	https://wantedfornothing.com/wp-content/uploads/2018/11/IMG_0752-2-cropped-950.jpg	C:/Users/zero/Desktop/single%204/wantedfornothing.com/wp-content/uploads/2018/11/IMG_0752-2-cropped-950.jpg	(from https://wantedfornothing.com/our-story/)
00:19:46	2331/2331	---MCZ	200	added ('OK')	text/xml	date:Tue,%2008%20Jun%202021%2018:49:47%20GMT	https://wantedfornothing.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwantedfornothing.com%2Fcontact%2F&format=xml	C:/Users/zero/Desktop/single%204/wantedfornothing.com/wp-json/oembed/1.0/embed9b4e	(from https://wantedfornothing.com/contact/)
00:19:46	334405/334405	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e42acc7-51a45%22	https://wantedfornothing.com/wp-content/mmr/0ec4bef9-1568887136.min.js	C:/Users/zero/Desktop/single%204/wantedfornothing.com/wp-content/mmr/0ec4bef9-1568887136.min.js	(from https://wantedfornothing.com/contact/)
